foo,bar
-20,-70
-11,-11
-6,-6
-8,-4
-3,-7
10, 14
9, 15
20, 6
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
90,  9
